"player_id","first_name","last_name","sex"
"561","Mike","Moser","m"
"562","Sandy","Mrvos","-"
"563","Mark","Mudgett","m"
"564","Leonard","Muise","m"
"565","Heiko","Müller","m"
"566","John","Munn","m"
"567","Dave","Murphy","m"
"568","Ray","Murray","m"
"569","Danny","Myers","m"
"570","Jim","Myers","m"
"571","Andy","Nahon","m"
"572","Shaggy","Navarro","m"
"573","Jason","Neifert","m"
"574","Rick","Neil","m"
"575","Albert","Nelson","m"
"576","Devrin","Nelson","-"
"577","Gary","Nelson","m"
"578","Roger","Neskvern","m"
"579","(98 CT States)","Newman","m"
"580","Bill","Newman","m"
"581","Nick","Newman","m"
"582","Mattias","Nilsson","m"
"583","Frank","Nitzel","M"
"584","Barry","Noakes","m"
"585","Glen","Noakes","m"
"586","Ben","Northcutt","m"
"587","Juha","Nurminen","-"
"588","Scott","Nutt","m"
"589","Paul","Nytsch","m"
"590","Jeff","O'Brien","m"
"591","Shawn","O'Connell","m"
"592","John","O'Gorman","m"
"593","Jim","O'Hara","m"
"594","John","O'Malley","m"
"595","Quinn","O'Neil","m"
"596","Padi","O'Neill","-"
"597","Ted","Oberhaus","m"
"598","Gary","Oberreith","m"
"599","Chris","Oien","-"
"600","Paul","Olander","m"
"601","Mark","Oller","m"
"602","Eric","Oloffson","m"
"603","Jim","Olsen","m"
"604","Denny","Orser","m"
"605","Craig","Osgood","m"
"606","Jim","Osgood","m"
"607","John","Osgood","m"
"608","Victor","Ouzoonian","m"
"609","Thomas","Palmer","m"
"610","James","Passmore","m"
"611","Blair","Paulsen","m"
"612","John","Pecunia","m"
"613","Andreas","Pellbring","m"
"614","Tony","Pellicane","m"
"615","Jerry","Perez Jr.","m"
"616","Jerry","Perez Sr.","m"
"617","Gary","Perlberg","m"
"618","Per","Persson","m"
"619","Tom","Petrie","m"
"620","Dan","Pierce","m"
"621","Alex","Pierson","m"
"622","Snapper","Pierson","m"
"623","Tom","Pitt","m"
"624","Florian","Plender","m"
"625","Brian","Pool","m"
"626","Jim","Poole","m"
"627","Chris","Porter","m"
"628","Dan-o","Porter","m"
"629","Dean","Porter","m"
"630","Bethany","Sanchez","f"
"631","Tom","Potts","m"
"632","John","Powell","m"
"1693","Liz","Powell","F"
"634","John","Pratt","m"
"635","Mike","Pratt","m"
"636","Tara","Proctor","f"
"637","Dave","Pucher","m"
"638","Pat","Rabdau","m"
"639","Johan","Rabell","m"
"640","Neill","Ramsay","m"
"641","Steve","Raper","m"
"642","Cliff","Raskind","m"
"643","Turner","Ray","m"
"644","Mike","Redmon","m"
"645","Mark","Regalbuti","m"
"646","Richie","Regensberg","m"
"647","Olaf","Reichert","m"
"648","Mark","Reid","m"
"649","Mikey","Reid","m"
"650","Rich","Reilly","m"
"651","Bob","Remey","m"
"652","Ron","Remey","m"
"653","Felix","Rentschler","m"
"654","Rick","Rentz","m"
"655","Tyler","Rentz","m"
"656","Roshan","Reporter","f"
"657","Terry","Rester","m"
"658","Ken","Reynolds","m"
"659","Ray","Rice","m"
"660","Chuck","Richard","m"
"661","Tim","Rieth","m"
"662","Greg","Riley","m"
"663","Scott","Riley","m"
"664","Carlos","Rio","m"
"665","Jeff","Risse","m"
"666","Derek","Robins","M"
"667","Judy","Robbins","f"
